/home/zaher/projects/samar/samar/models/samar_transformer.py:43: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  desc_vocab_size = len(DescriptionVocab())
/home/zaher/projects/samar/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:143: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.encoder = TransformerEncoder(
[model] Total parameters: 5,338,598
[SamarLatentDataset] Filtered 4 samples shorter than 16 tokens (13252 -> 13248 samples)
[trainer] Split 13248 samples into 11924 train / 1324 val
/home/zaher/projects/samar/samar/tokenizer.py:65: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  self.vocab = vocab or DescriptionVocab()
  [epoch 3 batch 30] loss=1.7403
  [epoch 3 batch 40] loss=1.5762
  [epoch 3 batch 50] loss=1.5791
  [epoch 3 batch 60] loss=1.7097
  [epoch 3 batch 70] loss=1.7017
  [epoch 3 batch 80] loss=1.8544
  [epoch 3 batch 90] loss=1.8121
  [epoch 3 batch 100] loss=1.7107
  [epoch 3 batch 110] loss=1.7489
  [epoch 3 batch 120] loss=1.7226
  [epoch 3 batch 130] loss=1.8084
  [epoch 3 batch 140] loss=1.6039
  [epoch 3 batch 150] loss=1.7871
  [epoch 3 batch 160] loss=1.6993
  [epoch 3 batch 170] loss=1.7651
  [epoch 3 batch 180] loss=1.7463
  [epoch 3 batch 190] loss=1.8596
  [epoch 3 batch 200] loss=1.6103
  [epoch 3 batch 210] loss=1.6394
  [epoch 3 batch 220] loss=1.7491
  [epoch 3 batch 230] loss=1.5357
  [epoch 3 batch 240] loss=1.6389
  [epoch 3 batch 250] loss=1.7577
  [epoch 3 batch 260] loss=1.7831
  [epoch 3 batch 270] loss=1.6110
  [epoch 3 batch 280] loss=1.8422
  [epoch 3 batch 290] loss=1.7939
  [epoch 3 batch 300] loss=1.5889
  [epoch 3 batch 310] loss=1.6609
  [epoch 3 batch 320] loss=1.7113
  [epoch 3 batch 330] loss=1.5954
  [epoch 3 batch 340] loss=1.7137
  [epoch 3 batch 350] loss=1.7528
  [epoch 3 batch 360] loss=1.7148
  [epoch 3 batch 370] loss=1.6428
  [epoch 3 batch 380] loss=1.7120
  [epoch 3 batch 390] loss=1.7096
  [epoch 3 batch 400] loss=1.6949
  [epoch 3 batch 410] loss=1.6835
  [epoch 3 batch 420] loss=1.6925
  [epoch 3 batch 430] loss=1.7676
  [epoch 3 batch 440] loss=1.6799
  [epoch 3 batch 450] loss=1.6238
  [epoch 3 batch 460] loss=1.6549
  [epoch 3 batch 470] loss=1.6524
  [epoch 3 batch 480] loss=1.6683
  [epoch 3 batch 490] loss=1.6078
  [epoch 3 batch 500] loss=1.6817
  [epoch 3 batch 510] loss=1.6463
  [epoch 3 batch 520] loss=1.7693
  [epoch 3 batch 530] loss=1.6403
  [epoch 3 batch 540] loss=1.7187
  [epoch 3 batch 550] loss=1.6042
  [epoch 3 batch 560] loss=1.7129
  [epoch 3 batch 570] loss=1.5619
  [epoch 3 batch 580] loss=1.6958
  [epoch 3 batch 590] loss=1.6433
  [epoch 3 batch 600] loss=1.5480
  [epoch 3 batch 610] loss=1.7028
  [epoch 3 batch 620] loss=1.6575
  [epoch 3 batch 630] loss=1.7429
  [epoch 3 batch 640] loss=1.6496
  [epoch 3 batch 650] loss=1.6881
  [epoch 3 batch 660] loss=1.7816
  [epoch 3 batch 670] loss=1.7242
  [epoch 3 batch 680] loss=1.5633
  [epoch 3 batch 690] loss=1.7497
  [epoch 3 batch 700] loss=1.7310
  [epoch 3 batch 710] loss=1.6538
  [epoch 3 batch 720] loss=1.7995
  [epoch 3 batch 730] loss=1.6859
  [epoch 3 batch 740] loss=1.9180
Epoch 3/5  train_loss=1.6906  val_loss=1.6316
[trainer] New best val_loss=1.6316
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 4 batch 10] loss=1.6365
  [epoch 4 batch 20] loss=1.7849
  [epoch 4 batch 30] loss=1.6379
  [epoch 4 batch 40] loss=1.4902
  [epoch 4 batch 50] loss=1.7213
  [epoch 4 batch 60] loss=1.6837
  [epoch 4 batch 70] loss=1.6799
