/home/zaher/projects/samar/samar/models/samar_transformer.py:43: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  desc_vocab_size = len(DescriptionVocab())
/home/zaher/projects/samar/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:143: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.encoder = TransformerEncoder(
[model] Total parameters: 5,338,598
[trainer] Resuming from checkpoint: checkpoints/samar_transformer_midi_v2.pt
[SamarLatentDataset] Filtered 4 samples shorter than 16 tokens (13252 -> 13248 samples)
[trainer] Split 13248 samples into 11924 train / 1324 val
[trainer] Resuming from epoch 15, best_val=1.3455
[trainer] Restored optimizer state from resume
[trainer] Restored scheduler state from resume (last_epoch=11190)
/home/zaher/projects/samar/samar/tokenizer.py:65: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  self.vocab = vocab or DescriptionVocab()
  [epoch 18 batch 80] loss=1.4032
  [epoch 18 batch 90] loss=1.3255
  [epoch 18 batch 100] loss=1.2686
  [epoch 18 batch 110] loss=1.3367
  [epoch 18 batch 120] loss=1.3904
  [epoch 18 batch 130] loss=1.3464
  [epoch 18 batch 140] loss=1.4138
  [epoch 18 batch 150] loss=1.3793
  [epoch 18 batch 160] loss=1.3972
  [epoch 18 batch 170] loss=1.4088
  [epoch 18 batch 180] loss=1.3152
  [epoch 18 batch 190] loss=1.4748
  [epoch 18 batch 200] loss=1.3246
  [epoch 18 batch 210] loss=1.3216
  [epoch 18 batch 220] loss=1.4186
  [epoch 18 batch 230] loss=1.3857
  [epoch 18 batch 240] loss=1.3664
  [epoch 18 batch 250] loss=1.2522
  [epoch 18 batch 260] loss=1.3004
  [epoch 18 batch 270] loss=1.3164
  [epoch 18 batch 280] loss=1.2770
  [epoch 18 batch 290] loss=1.3905
  [epoch 18 batch 300] loss=1.3239
  [epoch 18 batch 310] loss=1.4085
  [epoch 18 batch 320] loss=1.4833
  [epoch 18 batch 330] loss=1.3935
  [epoch 18 batch 340] loss=1.4271
  [epoch 18 batch 350] loss=1.3008
  [epoch 18 batch 360] loss=1.3620
  [epoch 18 batch 370] loss=1.4191
  [epoch 18 batch 380] loss=1.4540
  [epoch 18 batch 390] loss=1.5669
  [epoch 18 batch 400] loss=1.3726
  [epoch 18 batch 410] loss=1.4402
  [epoch 18 batch 420] loss=1.3583
  [epoch 18 batch 430] loss=1.4156
  [epoch 18 batch 440] loss=1.2411
  [epoch 18 batch 450] loss=1.3186
  [epoch 18 batch 460] loss=1.3437
  [epoch 18 batch 470] loss=1.4673
  [epoch 18 batch 480] loss=1.3069
  [epoch 18 batch 490] loss=1.4333
  [epoch 18 batch 500] loss=1.3860
  [epoch 18 batch 510] loss=1.3113
  [epoch 18 batch 520] loss=1.4510
  [epoch 18 batch 530] loss=1.3520
  [epoch 18 batch 540] loss=1.2580
  [epoch 18 batch 550] loss=1.3918
  [epoch 18 batch 560] loss=1.3744
  [epoch 18 batch 570] loss=1.3215
  [epoch 18 batch 580] loss=1.2802
  [epoch 18 batch 590] loss=1.4159
  [epoch 18 batch 600] loss=1.2529
  [epoch 18 batch 610] loss=1.2487
  [epoch 18 batch 620] loss=1.3522
  [epoch 18 batch 630] loss=1.3704
  [epoch 18 batch 640] loss=1.3720
  [epoch 18 batch 650] loss=1.5549
  [epoch 18 batch 660] loss=1.4130
  [epoch 18 batch 670] loss=1.3759
  [epoch 18 batch 680] loss=1.4144
  [epoch 18 batch 690] loss=1.2969
  [epoch 18 batch 700] loss=1.3699
  [epoch 18 batch 710] loss=1.2816
  [epoch 18 batch 720] loss=1.4449
  [epoch 18 batch 730] loss=1.3705
  [epoch 18 batch 740] loss=1.3935
Epoch 18/25  train_loss=1.3668  val_loss=1.3102
[trainer] New best val_loss=1.3102
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 19 batch 10] loss=1.3658
  [epoch 19 batch 20] loss=1.3727
  [epoch 19 batch 30] loss=1.3628
  [epoch 19 batch 40] loss=1.4139
  [epoch 19 batch 50] loss=1.3470
  [epoch 19 batch 60] loss=1.3404
  [epoch 19 batch 70] loss=1.3223
  [epoch 19 batch 80] loss=1.3819
  [epoch 19 batch 90] loss=1.3045
  [epoch 19 batch 100] loss=1.3704
  [epoch 19 batch 110] loss=1.4216
  [epoch 19 batch 120] loss=1.3624
  [epoch 19 batch 130] loss=1.4378
  [epoch 19 batch 140] loss=1.3537
  [epoch 19 batch 150] loss=1.3484
  [epoch 19 batch 160] loss=1.3094
  [epoch 19 batch 170] loss=1.3222
  [epoch 19 batch 180] loss=1.3670
  [epoch 19 batch 190] loss=1.4409
  [epoch 19 batch 200] loss=1.2665
  [epoch 19 batch 210] loss=1.3940
  [epoch 19 batch 220] loss=1.3376
  [epoch 19 batch 230] loss=1.3530
  [epoch 19 batch 240] loss=1.2329
  [epoch 19 batch 250] loss=1.3369
  [epoch 19 batch 260] loss=1.4184
  [epoch 19 batch 270] loss=1.3089
  [epoch 19 batch 280] loss=1.3737
  [epoch 19 batch 290] loss=1.5479
  [epoch 19 batch 300] loss=1.4354
  [epoch 19 batch 310] loss=1.4041
  [epoch 19 batch 320] loss=1.2955
  [epoch 19 batch 330] loss=1.3531
  [epoch 19 batch 340] loss=1.4015
  [epoch 19 batch 350] loss=1.2926
  [epoch 19 batch 360] loss=1.4139
  [epoch 19 batch 370] loss=1.2337
  [epoch 19 batch 380] loss=1.3530
  [epoch 19 batch 390] loss=1.4050
  [epoch 19 batch 400] loss=1.3758
  [epoch 19 batch 410] loss=1.1941
  [epoch 19 batch 420] loss=1.4792
  [epoch 19 batch 430] loss=1.3087
  [epoch 19 batch 440] loss=1.3820
  [epoch 19 batch 450] loss=1.4319
  [epoch 19 batch 460] loss=1.3401
  [epoch 19 batch 470] loss=1.3406
  [epoch 19 batch 480] loss=1.3062
  [epoch 19 batch 490] loss=1.4351
  [epoch 19 batch 500] loss=1.3309
  [epoch 19 batch 510] loss=1.3874
  [epoch 19 batch 520] loss=1.3911
  [epoch 19 batch 530] loss=1.4172
  [epoch 19 batch 540] loss=1.3109
  [epoch 19 batch 550] loss=1.3344
  [epoch 19 batch 560] loss=1.3581
  [epoch 19 batch 570] loss=1.3392
  [epoch 19 batch 580] loss=1.4283
  [epoch 19 batch 590] loss=1.2912
  [epoch 19 batch 600] loss=1.4120
  [epoch 19 batch 610] loss=1.2858
  [epoch 19 batch 620] loss=1.3512
  [epoch 19 batch 630] loss=1.2789
  [epoch 19 batch 640] loss=1.3586
  [epoch 19 batch 650] loss=1.2304
  [epoch 19 batch 660] loss=1.3518
  [epoch 19 batch 670] loss=1.2792
  [epoch 19 batch 680] loss=1.3674
  [epoch 19 batch 690] loss=1.4156
  [epoch 19 batch 700] loss=1.3014
  [epoch 19 batch 710] loss=1.3465
  [epoch 19 batch 720] loss=1.3887
  [epoch 19 batch 730] loss=1.3272
  [epoch 19 batch 740] loss=1.4151
Epoch 19/25  train_loss=1.3568  val_loss=1.3030
[trainer] New best val_loss=1.3030
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 20 batch 10] loss=1.3951
  [epoch 20 batch 20] loss=1.3116
  [epoch 20 batch 30] loss=1.3030
  [epoch 20 batch 40] loss=1.3036
  [epoch 20 batch 50] loss=1.4886
  [epoch 20 batch 60] loss=1.3496
  [epoch 20 batch 70] loss=1.2483
  [epoch 20 batch 80] loss=1.3021
  [epoch 20 batch 90] loss=1.3375
  [epoch 20 batch 100] loss=1.3367
  [epoch 20 batch 110] loss=1.3766
  [epoch 20 batch 120] loss=1.3365
  [epoch 20 batch 130] loss=1.2756
  [epoch 20 batch 140] loss=1.3928
  [epoch 20 batch 150] loss=1.3019
  [epoch 20 batch 160] loss=1.3191
  [epoch 20 batch 170] loss=1.3524
  [epoch 20 batch 180] loss=1.4217
  [epoch 20 batch 190] loss=1.3558
  [epoch 20 batch 200] loss=1.3382
  [epoch 20 batch 210] loss=1.3811
  [epoch 20 batch 220] loss=1.3146
  [epoch 20 batch 230] loss=1.2800
  [epoch 20 batch 240] loss=1.2818
  [epoch 20 batch 250] loss=1.3004
  [epoch 20 batch 260] loss=1.4331
  [epoch 20 batch 270] loss=1.3894
  [epoch 20 batch 280] loss=1.2933
  [epoch 20 batch 290] loss=1.2951
  [epoch 20 batch 300] loss=1.1854
  [epoch 20 batch 310] loss=1.4114
  [epoch 20 batch 320] loss=1.3590
  [epoch 20 batch 330] loss=1.3829
  [epoch 20 batch 340] loss=1.3190
  [epoch 20 batch 350] loss=1.2941
  [epoch 20 batch 360] loss=1.3251
  [epoch 20 batch 370] loss=1.4406
  [epoch 20 batch 380] loss=1.2869
  [epoch 20 batch 390] loss=1.2681
  [epoch 20 batch 400] loss=1.3542
  [epoch 20 batch 410] loss=1.3793
  [epoch 20 batch 420] loss=1.3277
  [epoch 20 batch 430] loss=1.4112
  [epoch 20 batch 440] loss=1.4057
  [epoch 20 batch 450] loss=1.3431
  [epoch 20 batch 460] loss=1.4005
  [epoch 20 batch 470] loss=1.4373
  [epoch 20 batch 480] loss=1.2266
  [epoch 20 batch 490] loss=1.3323
  [epoch 20 batch 500] loss=1.3083
  [epoch 20 batch 510] loss=1.3197
  [epoch 20 batch 520] loss=1.2350
  [epoch 20 batch 530] loss=1.1937
  [epoch 20 batch 540] loss=1.4500
  [epoch 20 batch 550] loss=1.2861
  [epoch 20 batch 560] loss=1.2910
  [epoch 20 batch 570] loss=1.3038
  [epoch 20 batch 580] loss=1.3997
  [epoch 20 batch 590] loss=1.2368
  [epoch 20 batch 600] loss=1.4099
  [epoch 20 batch 610] loss=1.4011
  [epoch 20 batch 620] loss=1.4644
